district_id,neighborhood_canon,n_venues,n_cuisine_types,area_eff_km2,venues_per_km2,V_score,C_score,VV_index,vibrancy_eligible,vibrancy_label
11001001,gesundbrunnen,149,15,6.123739019057953,24.331539854375023,74.31210516943722,100.0,83.3028683601342,True,vibrant
11001001,hansaviertel,11,5,0.5280376314437806,20.831848612613804,63.29731677739846,25.4237288135593,50.04156099005475,True,vibrant
11001001,mitte,950,25,10.67358195900944,89.00479741930653,100.0,100.0,100.0,True,vibrant
11001001,moabit,233,22,7.705435414749611,30.238395036573202,92.90310517479415,100.0,95.38701836361619,True,vibrant
11001001,tiergarten,119,10,5.177866102799861,22.98244057250773,70.06600398991105,67.79661016949146,69.2717161527642,True,vibrant
11001001,wedding,217,13,9.240705924961098,23.483054407546632,71.64161597341435,93.22033898305075,79.1941690267871,True,vibrant
11002002,friedrichshain,531,26,9.944489731513457,53.39640487709437,100.0,100.0,100.0,True,vibrant
11002002,kreuzberg,748,33,10.37203888299929,72.11696836443987,100.0,100.0,100.0,True,vibrant
11003003,blankenburg,3,1,6.0584268389591225,0.49517805195043335,0.0,0.0,0.0,False,sparse
11003003,blankenfelde,4,0,13.26406875302312,0.3015665912534062,0.0,0.0,0.0,False,sparse
11003003,buch,9,5,18.233197926592528,0.4936051281971657,0.0,25.4237288135593,8.898305084745754,False,sparse
11003003,franzoesischbuchholz,6,3,12.025817142830762,0.4989265950694189,0.0,8.474576271186432,2.966101694915251,False,sparse
11003003,heinersdorf,7,3,3.8516538821359707,1.817401099425394,3.4520043538096186,8.474576271186432,5.2099045248915035,False,sparse
11003003,karow,7,4,6.605062258850976,1.0597931897795203,1.0675394875077142,16.949152542372865,6.626104056710517,False,sparse
11003003,niederschoenhausen,24,6,6.482204022086769,3.7024444028952135,9.384914334491397,33.89830508474573,17.96460109708041,True,average
11003003,pankow,65,8,5.652475712639588,11.499385986684118,33.92469676607022,50.8474576271186,39.84766306743715,True,vibrant
11003003,prenzlauerberg,667,28,11.003472545096235,60.617227631221986,100.0,100.0,100.0,True,vibrant
11003003,rosenthal,8,3,4.918179229905089,1.6266182312665298,2.8515419768661685,8.474576271186432,4.819603979878261,False,sparse
11003003,stadtrandsiedlungmalchow,1,0,5.7043201865882365,0.17530572746445036,0.0,0.0,0.0,False,sparse
11003003,weissensee,72,13,7.931332846673595,9.077919360072858,26.30346944971866,93.22033898305075,49.72437378638489,True,vibrant
11003003,wilhelmsruh,7,2,1.35968104941859,5.14826620772074,13.93543611844576,0.0,9.058033476989744,False,average
11004004,charlottenburg,782,27,10.591549804220852,73.83244326419201,100.0,100.0,100.0,True,vibrant
11004004,charlottenburgnord,9,4,6.1964797223828,1.4524375779832508,2.303332747718036,16.949152542372865,7.429369675847226,False,sparse
11004004,grunewald,18,2,22.34392373002069,0.8055881418810827,0.26746467594226375,0.0,0.17385203936247146,False,sparse
11004004,halensee,44,9,1.2662548439060846,34.748139532695355,100.0,59.32203389830503,85.76271186440675,True,vibrant
11004004,schmargendorf,33,5,3.586365622933888,9.201515815613854,26.69247199587041,25.4237288135593,26.24841188206152,True,vibrant
11004004,westend,73,10,13.520978820991873,5.3990174059487845,14.7246404215494,67.79661016949146,33.29982983332912,True,vibrant
11004004,wilmersdorf,261,21,7.157516942666392,36.46515992776254,100.0,100.0,100.0,True,vibrant
11005005,falkenhagenerfeld,11,2,6.873154807626353,1.6004295418742147,2.7691167421828906,0.0,1.7999258824188789,False,sparse
11005005,gatow,12,2,10.108140904927145,1.1871619235294475,1.4684147513813761,0.0,0.9544695883978945,False,sparse
11005005,hakenfelde,22,3,20.37203721797131,1.0799116340015604,1.1308594750650411,8.474576271186432,3.701160353707528,False,sparse
11005005,haselhorst,11,2,4.520337340801544,2.433446703349243,5.390921674885078,0.0,3.504099088675301,True,sparse
11005005,kladow,19,4,14.772671677993586,1.2861586864008994,1.779993207650313,16.949152542372865,7.089198974803206,False,sparse
11005005,siemensstadt,20,4,5.661235124078463,3.5327979781188836,8.85097595499115,16.949152542372865,11.68533776057475,True,average
11005005,spandau,67,10,8.228773921936753,8.14216074418905,23.358300168213663,67.79661016949146,38.91170866866089,True,vibrant
