district_id,district,neighborhood_id,neighborhood,area_km2,ubahn_stations,bus_tram_stops,total_stops,connectivity_density,mobility_score,mobility_label,green_area_km2,green_share,green_share_label,n_playgrounds,playgrounds_per_km2,playgrounds_density_label,n_venues,n_cuisine_types_x,venues_per_km2,n_cuisine_types_y,V_score,C_score,VV_index,vibrancy_label
11001001,Mitte,101,Mitte,10.67358195900944,22,85,107,3.831890752052249,100.0,well-connected,0.9327947,0.08739284558663453,above average,61.0,5.715044886923892,above average,950,25,89.00479741930653,25,100.0,100.0,100.0,vibrant
11001001,Mitte,102,Moabit,7.705435414749611,4,44,48,2.07645631152434,82.74959074725723,well-connected,0.7023358,0.09114810029496853,above average,49.0,6.359147454043291,above average,233,22,30.238395036573202,22,92.90310517479415,100.0,95.38701836361619,vibrant
11001001,Mitte,103,Hansaviertel,0.5280376314437806,1,5,6,4.166369722522761,100.0,well-connected,0.076529,0.1449309584067929,above average,,,,11,5,20.831848612613804,5,63.29731677739846,25.4237288135593,50.04156099005475,vibrant
11001001,Mitte,104,Tiergarten,5.177866102799861,8,23,31,2.4141219088768624,99.54349539204956,well-connected,1.9976945000000002,0.38581424477542475,above average,18.0,3.4763355487826817,above average,119,10,22.98244057250773,10,70.06600398991105,67.79661016949146,69.2717161527642,vibrant
11001001,Mitte,105,Wedding,9.240705924961098,10,35,45,1.8937947102860189,73.664858581727,well-connected,2.3546861,0.25481669031794374,above average,98.0,10.605250377601704,above average,217,13,23.483054407546632,13,71.64161597341435,93.22033898305075,79.1941690267871,vibrant
11001001,Mitte,106,Gesundbrunnen,6.123739019057953,5,34,39,2.237195275200925,90.74399364128111,well-connected,0.0957279,0.015632263181380047,below average,18.0,2.939380653548661,above average,149,15,24.331539854375023,15,74.31210516943722,100.0,83.3028683601342,vibrant
11002002,Friedrichshain-Kreuzberg,201,Friedrichshain,9.944489731513457,5,57,62,2.071498946267691,82.50303462764563,well-connected,0.812918,0.08174557186417665,average,84.0,8.446888907110973,above average,531,26,53.39640487709437,26,100.0,100.0,100.0,vibrant
11002002,Friedrichshain-Kreuzberg,202,Kreuzberg,10.37203888299929,20,73,93,3.4612288292558704,100.0,well-connected,0.9694345,0.0934661459463858,above average,82.0,7.905870863481376,above average,748,33,72.11696836443987,33,100.0,100.0,100.0,vibrant
11003003,Pankow,301,Prenzlauer Berg,11.003472545096235,2,48,50,1.4359103396901158,50.891835453462164,well-connected,1.0409427,0.09460129025031307,above average,98.0,8.906279322128567,above average,667,28,60.617227631221986,28,100.0,100.0,100.0,vibrant
11003003,Pankow,302,Weißensee,7.931332846673595,0,42,42,1.5886358880127502,58.48768861547748,well-connected,0.483029,0.060901365424675453,average,34.0,4.286795253367739,above average,72,13,9.077919360072858,13,26.30346944971866,93.22033898305075,49.72437378638489,vibrant
